PID,Social Media Post,Normalized Claim
811,important announcement coronavirus from someone World Health Organization is graduated with a masters degree and World Health Organization worked in shenzhen hospital guangdong province china the following notes on coronavirus for guidance 1 if you have a runny nose and sputum you have a common cold 2 coronavirus pneumonia is a dry cough with no runny nose 3 this new virus is not heatresistant and will be killed by a temperature of just 2627 degrees it hates the sun 4 if someone sneezes with it it takes about 10 feet before it drops to the ground and is no longer airborne 5 if it drops on a metal surface it will live for at least 12 hours so if you come into contact with any metal surface wash your hands as soon as you can with a bacterial soap 6 on fabric it can survive for 612 hours normal laundry detergent will kill it 7 drinking warm water is effective for all viruses try not to drink liquids with ice 8 wash your hands frequently as the virus can only live on your hands for 510 minutes but a lot can happen during that time you can rub your eyes pick your nose unwittingly and so on 9 you should also gargle as a prevention a simple solution of salt in warm water will suffice 10 cannot emphasise enough drink plenty of water the symptoms 1 it will first infect the throat so you will have a sore throat lasting 34 days 2 the virus then blends into a nasal fluid that enters the trachea and then the lungs causing pneumonia this takes about 56 days further 3 with the pneumonia comes high fever and difficulty in breathing 4 the nasal congestion is not like the normal kind you feel like you are drowning it is imperative you then seek immediate attention spread the word please share,you should gargle as a prevention with salt in warm water
1625,rep adam schiff illegally made up a fake terrible statement pretended it to be mine as the most important part of my call to the ukrainian president and read it aloud to congress and the american people it bore no relationship to what i said on the call arrest for treason,adam schiffs retelling of donald trumps ukraine phone call is not treason
2091,i do not think there will be,jeremy corbyn has already accepted that there is going to be a run on the pound in the event of a labour government
1117,we saw stuff happening at the georgia capitol and said we should not be around here we should not be a spark,georgia and kansas capitol buildings have been stormed by protesters
2676,ladies and gentleman and other personsdoctor suess is no more he has been cancelled,dr seuss has been cancelled
2227,onion tea for missed period this remedy is for those that have missed their period some people do not even menstruate every month and if she does is very small if your period is irregular not fourth coming for long and you are seeking natural ways to bring them back try this recipe do not go to early menopause and you can add twin blessing fertility cleanser and menopausal powder 1 big onion 1 big lemon 1 cup of water process crush grind or blend the onion boil in 1 cup of water sieve it and add lemon juice and drink this mixture at all once after dinner do this once a day for 3 days,onion and lemon tea regulate periods and prevent early menopause
490,work together in a way that destroys healthy gut flora glyphosate interferes with intestinal bacteria leading to the excessive growth of clostridium difficile its poisonous product pcresol has been linked to autism proven on humans and mice increasing the dose of,a social media post claims soy contains aluminum harmful enough to harm human brain we factchecked and found the claim is half true soy does contain aluminum however it is not clear whether regular consumption of soy will harm human body while aluminium is considered a risk factor for dementia extensive studies are going on to prove the same no scientific evidence confirms that all alzheimers and other dementia patients have high aluminium levels
2046,power shut down before cyclone effect hits its maximum stay safe everyone image may contain text,as cyclone yasa heads towards fiji a social media post claims the nations energy provider has warned that energy supplies would be shut down in advance of the storm as a precautionary measure
2721,tractor rally led by ambala Member of Parliament ratan lal kataria kurukshetra Member of Parliament naib saini and ambala Bharatiya Janata Party chief rajesh batora faced heavy protests in naraingarh,people of bihar chasing Bharatiya Janata Party supporters
691,so this is how ugandas military paratroopers landed on independence day celebrations if that is they way they were going to land in nairobi under the command of m7 junior to capture the city then could just send jeshi la wokovu to deal with them,so this is how ugandas military paratroopers landed on independence day celebrations if that is they way they were going to land in nairobi under the command of m7 junior to capture the city then could just send jeshi la wokovu to deal with them
2541,the figures below show you are more likely to have Coronavirus Disease and pass it on if you are vaccinated,ukhsa data shows that the covid19 vaccines are negatively effective
2580,there is no way that this was legitimate and no we are not calling the az race yet kari abe and blake are still in this and we need them,the claim candidates with more social media followers losing an election is proof of fraud
1583,norway spends about 30000 per child on early childhood care finland spends 23000 germany 18000 the yous spends 500 per child in other words 160th of what norway spends on its toddlers how do we expect to build a better future if we refuse to invest in our kids,norway spends about 30000 per child on early childhood care finland spends 23000 germany 18000 and the yous 500
757,this is rahul gandhi well known as pappusbharat thodo yatra arrangementscongress said he will not stay in hotels but will be with workers whereever vaccant ground is availableneithher party nor rahul said that they will be st aying in specially designed super lauxury caravans,this is rahul gandhi well known as pappusbharat thodo yatra arrangements congress said he will not stay in hotels but will be with workers whereever vaccant ground is availableneithher party nor rahul said that they will be st aying in specially designed super lauxury caravans
2065,this is great can post this to people that argue with me now would be great if we can find the original link though,the vaccines only have temporary approval by the mhra
1877,this shows the type of person she really is part of the speech she gave to you she is fake,new zealand prime minister jacinda ardern used a passage from animated childrens film bee movie in her speech to harvard graduates
1059,aaaand this is what got me shut down on twitter,connecticut ballot question would allow early voting drop seal requirement
119,forwarded as received the government is proposing a bill by which if the bank is having financial difficulties then they can ask depositors to take a hit the finance ministry have got a bill approved by the cabinet called the financial resolution and deposit insurance frdi bill 2017,preparation to table frdi bill in parliament
2766,the car that was waiting to welcome stalin to delhi today zoom in a bit and look under the tyre,the car that was waiting to welcome stalin in delhi today zoom a little and see under the tyre
1191,black worms in masks and Coronavirus Disease swabs i think they are nanoparticals or nanobots but be interesting to find out what they are and do experiments on them like using magnets or something,fibres from face masks and test swabs can cause morgellons disease
282,the fcdo advises against all but essential travel to spain including the balearic islands but excluding the canary islands based on the current assessment of covid19 risks,you should not be visiting countries on the amber list for holidays
2465,the chart is not a prediction but it is a way of thinking about how quickly this can change,the number of new covid19 cases each day is roughly doubling every week
1150,World Health Organization did this,World Health Organization did this
2185,the voting machines in arizona were not certified thusly the election in turn cannot be legally certified,voting machines in arizona were not certified so election is not legal
2667,to any dems World Health Organization tuned into trumps town hall session tonite i applaud you offer you a new dunkin spicy ghost pepper donut with ghost pepper the worlds hottest chili pepper 400 times hotter than tabasco sauce because you have got an ironclad stomach,bhut jolokia is the hottest chilli in the world
2536,there are a range of factors that can lead to variable reporting of one vaccine over another for instance sociodemographic factors of vaccine recipients or whether or not they have been encouraged by information or a healthcare professional to make a report,the mhra has confirmed deaths due to covid19 vaccines in 10 months are 330 higher than deaths due to all other vaccines in the past 20 years
882,new about 4050 of cdc Food and Drug Administration employees are refusing the covid19 vaccine according to fauci marks what,the claim Doctor anthony fauci and peter marks said 40 to 50 of Centers for Disease Control and Prevention and Food and Drug Administration employees are refusing the covid19 vaccine
2523,the youk portugal and belgium must have all been visited by the same sailor,articles reported that the same boy died of covid19 in three different countries
1092,had this floating around my family whatsapp threads looks like spam getting trough family panic and antichina paranoia about coronavirus is proving hard enough as it is,the new coronavirus is 400500 micro and for this reason wide enough to be stopped by masks
1424,rest in peace richard belzer another vax death vaers now says early deaths since vax introduced up 4000 percent got an opinion about this see what others are saying see more,richard belzer died because of a covid19 vaccine
1964,aoc just said on her insta live that rioters broke into her office during the insurrection this is honestly bone chilling,alexandria ocasio cortez said the mob broke into her office on january 6
719,kaya naman pala,kuya kim atienza said bong gos wife is the supplier of face shields from china
367,the media is going crazy they totally distort so many things on purpose crimea nuclear the baby and so much more very dishonest,says the media distorted what happened with a baby at his rally
1838,not much of a fast food eater but just in case i get a craving this is motivation to eat healthier for sure thanks for the knowledge troubleman31 staywoke healthyeating supportthelocals moneyispower boycott timetogethealthy,says 12 restaurants and food companies are supporting trumps reelection
2253,god brought back leprosy and we calling it monkey pox,monkeypox is another name for leprosy
556,big breaking quarantined by mumbai police ips vinay tiwary will join cbi probe ssrkilledon14june,ips vinay tiwari will join cbi to further investigate sushant singh rajputs case
1584,being a christian vai ko cannot comment on another religion it is fermenting communal hatred he can be tried in court for only this aspect,vaiko has converted with his family mohan c lazarus christian vaiko should not comment on other religions
1412,i find it odd that olive garden employees are allowed to wear blm mask but not the american flag i am done spending my money there,olive garden employees are allowed to wear black lives matter masks but not the american flag
305,donyi polo airport arunachal pradesh will be the most eco friendly interiors made of bamboo shortly it will be dedicated to nation aaiofficial,donyi polo airport arunachal pradesh will be the most eco friendly interiors made of bamboo shortly it will be dedicated to nation aaiofficial
2025,read chad booc he is no hero volunteer for the indigenous people of mindanao booc is in fact deployed purposely and deliberately as a fulltime cpp cadre operative to do legal institution work for the cppnpandf in the misfi alternative lumad or Internet Protocol schools in order to unify and implement the cppnpandf program of expansion recovery and consolidation among various Internet Protocol communities in mindanao booc has consistently been an underground recruiter and operator for the cppnpandf even during his student days in up diliman where he was part of the cpp party branch unit in college of engineering his operations included recruitment of young students some are minors to become part of the cpp and ndf affiliated organization for the youth and students which supports the armed and terroristic activities of the cppnpandf the organization of kabataang makabayan or km booc continues with his nefarious and terroristic activities in mindanao by being part of the core cadre operatives of the cppnpandf World Health Organization were deployed to provide directional leadership to cppcreated so called misfi institution where the cppnpandf fund raising resource generation recruitment for the npa among other activities have been concealed through their so called alternative lumad schools project like alcadev salugpungan etc clearly chad booc is the embodiment of the operational doctrine of the cppnpandf known as revolutionary dual tactics where they are able to circumvent and exploit our laws and legal system to their advantage just like the duplicitous and deceptive schemes of mafialike operations of cpp partylists led by zarate elago et al this dubious cppnpandf operative chad booc must be exposed to the public so that their evil deeds against the ips in mindanao especially against the Internet Protocol youth and children must be put to a stop and the bar of justice shall bear upon them sambayanan february 17 2021 sambayanan ntfelcac eo70,the up college of engineering up coe is housing a branch of the communist party of the philippines cpp
204,cilantro removes toxic heavy metals from the brain,the claim cilantro removes heavy metals from the brain
2407,ripcartoonnetwork,rip cartoon network
933,he does have 91 approval remaining 9 are kids World Health Organization were not polled he does not want to disappoint the 91 whose approving cooperation makes possible his successful fight against crime contagion 91 approve of everything he is done so far everything todo no exceptions,president rodrigo dutertes 91 approval rating in the sept 14 to 20 pulse asia survey meant they approve of everything he is done so farwithout exception
2098,although noone truly knows the because it is undeniable that temperatures have risen over the past 20 years look at the temperature records and average snowfall,the United States has not warmed in 18 years so emissionsdriven warming is a hoax
121,kentucky fried chicken lost its case after years of trying to claim it was 100 chicken the company was found guilty of only 15 of it being chicken and the remaining 85 not good for human consumption only for dogs the islamic judicial council withdrew its guarantee certificate as it was also found that the spice,United States court said kfc is unfit for humans
284,to saudi arabia transit at singapore,image of gotabaya rajapaksa inside the flight maldives to singapore
1221,wow a 100 year old man joined the million strong london march yesterday a man World Health Organization in his most senior years has more brains than most males in their prime 100 years old,a million people attended the antilockdown march in london on 24 april 2021
576,hindu and hindutva wadi will be thrown out we should throw where do you throw out of the nation or politics rahul gandhi to clarifyhindus did not defeated or thrown hindus repeated the history hindus will repeat the history remember rahulgandhi congressmuktbharat,hindu and hindutva wadi will be thrown out we should throw where do you throw out of the nation or politics rahul gandhi to clarifyhindus did not defeated or thrown hindus repeated the history hindus will repeat the history remember
2488,new guidelines of icmr for c19 released on aug 6supthsup brfor prophylaxis tabbrivermectin 12 mg bron day 1 day 7 day 30 br2 hrs after dinnerbrfollowed bybrevery 30 days 1 tab of 12mg till pandemic is over,new guidelines of icmr for c19 released on aug 6th
1929,are we being biologically changed and tweeked enough just to be labled as a patten through the use of vaccines,covid19 testing and vaccination biologically change people until they are no longer human
1796,a quick and easy do it yourself to whitening your teeth ingredients turmeric 1 teaspoon pure coconut oil 1 tablespoon benefits turmeric remove plaque bacteria gum diseases and bad breath coconut oil healthier gums plaque removal and whiter teeth follow me facebook instagram,you can whiten your teeth with coconut oil and turmeric
2355,joebiden once again lies about republicans trying to cut social security and medicare here is my ad running tomorrow to welcome joe to fl he is a tax cheat and needs to resign,president joe biden cheated on his taxes biden improperly used a loophole to dodge half a million dollars in taxes that should have gone to medicare
276,right and left brain dominant if you are right brain is dominant you will see combination of pink and white color and if you are left brain is dominant you will see it in grey and green color try with you are loved ones very interesting,right and left brain dominant if you are right brain is dominant you will see combination of pink and white color and if you are left brain is dominant you will see it in grey and green color try with you are loved ones very interesting
1264,a lot of European Union supporters asking wheresboris for not visiting flooded areas do you know the floods are because European Union laws prevent the United Kingdom from drenching its own rivers,European Union laws prevent the United Kingdom from dredging rivers
257,a message from the president,hundreds of thousands of vials of antibody drug are being sent to the hospitals all over the country
361,moderna vaccine is dangerous to human health because one of its ingredients appears to be described as hazardous and toxic in a safety data sheet but this warning applies to the ingredient a lipid called sm102 when it is in a mixture with chloroform a known highly toxic substance,the moderna vaccine contains sm102 which could cause health complaints such as cancer fertility damage and damage to the nervous system kidneys or respiratory system
1054,indiashutdown farmersprostests farmersprotesthijacked,indian farmers raising khalistan zindabad slogans and praising pakistan pm imran khan in the ongoing protests over the new farm bills
1830,if we vote to leave this would not automatically mean we will control immigration from the eu it depends on what the government chooses to do with immigration policy and what arrangements it negotiates,if we vote leave we will control our borders
1451,the daily mail liarsthis is a picture from 2016the racist scum daily fail posted it as corbyn breaking social distancing how fucking desperate are these wankersshame on you daily fail,a picture of jeremy corbyn with a man reproduced on the mailonline website claiming to show him on 26 may 2020 is actually from 2016
605,World Economic Forum globalism they do not even try to hide this stuff,european central bank president discusses gene therapy at World Economic Forum conference
970,are they really telling United States that all 7800000000 people in world need to be vaccinated for a virus that does not kill 9999 of United States that would be totally ridiculous reactions to the vaccine would kill more than the virus what is the real reason they want United States all injected,covid19 does not kill 9999 of us
1419,i am sure is just coincidence,ambassadors pulled from turkey 24 hours before earthquake
1971,you may have seen a recent post on a facebook group about a baby being stolen from one of our hospitals please be assured that this is a complete fabrication and is inaccurate if you see this post anywhere please report it to the group administrators,a woman dressed as a nurse has snatched a newborn baby from various hospitals around the uk
630,dmks briefcase is a wise cunning driver,kanimozhis car driver is the one World Health Organization threatened vijaya sethupathis daughter following the 800 film controversy
1939,pay attention focus on yourself a little more you can do what you want in this pandemic but do not let your health mentally and physically suffer,obesity kills 30000 people a year or 82 a day
1962,pineapple is that fruit which is readily available in all supermarket stores and market and is eaten in many homes around the world pineapples are very common that people can choose to eat them any how they want they can eat them in solid form dried or even in juice form in some countries pineapple is not only loved for its sweet taste but also it has been used for centuries to cure digestion issues and inflammation happyhealth visit lnkbio for more,pineapple can improve bone health
1845,italy has decided not to treat their elderly for this virus that my friends is socialized healthcare,italy has decided not to treat their elderly for this virus
287,happy independence day let United States have honor like these men,the claim an image shows a july 4 tweet from rep marjorie taylor greene
1179,this is how the people of uttar pradesh welcomed the official candidates of Bharatiya Janata Party World Health Organization came to seek votes,the people of uttar pradesh welcomed the official candidates of Bharatiya Janata Party World Health Organization came to ask for votes is like this
2384,in my first four months in office more than two million jobs have been created that is more than double the rate of my predecessor and more than eight times the rate of president reagan,in my first four months in office more than two million jobs have been created that is more than double the rate of my predecessor and more than eight times the rate of president reagan
301,we had a serious discussion of the challenges we all face in finding a 21st century solution to asylum issues,on the governments plan to send asylum seekers to rwanda david blunkett proposed the policy first in 2004
2348,United States troops boots on the ground,the claim yous combat troops have been deployed to ukraine
1592,the survival rate from Coronavirus Disease for the 70 74 age group is 9998 has anyone told stevie,you can skip vaccine since Coronavirus Disease has a high survival rate
1207,damn you what business is close to the queen of england 2g profits outpace royal family closeness even though gopalapuram chases away victoria puram welcomes you Doctor macham,what business is he doing to meet the queen of england 2g profit has made him connect with the family of the england queen though gopalapuram throws him out victoria puram is welcoming him
424,first give a patient suffering from coronavirus hot meals rich and pepper and in less than 24 hours he or she will be fine,adding pepper in your food will not cure or prevent coronavirus
2167,translated today is ganesh puja share this post as much as possible assameseelephantcaptiveintamilnadutemple jayamala the elephant was leased from assam to tamil nadu in 2008 for just six months the elephant which has been illegally kept for the last 13 years was caught was tied and brutally thrashed several times in a temple premises but the assam forest department is indifferent despite knowing everything,this is the image of elephant joymala World Health Organization was brutally beaten in tamil nadu
1600,ethylene oxide may be harmful to the unborn child,a public health england document shows that ethylene oxide the sterilising solution used on Polymerase Chain Reaction tests may be harmful to the unborn child
2016,embassy statement,the russian army does not occupy ukrainian territory
163,whilst you are distracted with strep this has been discussed in the house of commons,the claim that the daily rate of vaccine deaths is now higher than Coronavirus Disease deaths has been discussed in the house of commons
66,officers have been subjected to considerable levels of abuse and violence one suffered a broken arm and another suffered broken ribs both have been taken to hospital,police officers suffered broken bones at a bristol protest
2079,coronavirus covid19 is large in size where the cell diameter is 400500 micro and for this reason any mask may prevent its entry,coronavirus covid19 is large in size where the cell diameter is 400500 micro and for this reason any mask may prevent its entry unicef
857,trump stealing money from military families to pay for his border wall is nothing short of abhorrent,says trump is defunding hurricane recovery in puerto rico and laying off of russia in europe to fund his racist border wall
891,capitol police will be releasing an estimate of the crowd size later organizers said in their permit request which was denied that they anticipated 1000 people on facebook more than 3000 said they were coming,says Governor tony evers removed the american flag from the capitol building
2547,a simple way to nobble your Member of Parliament this method is to get your views out to them let them see they will loose your vote if they say yes to any of the questions remember you do not actually have to vote for them anyway it is a rouse to get your views to them,65000 people died of winter flu in december 2017 and january 2018
1559,pay attention focus on yourself a little more you can do what you want in this pandemic but do not let your health mentally and physically suffer,coronavirus killed 9 people out of 666 million yesterday
743,if the child is not accompanied by such an individual,as part of the coronavirus act children can be detained for 14 days without their parents consent and their parents do not have to be informed only a teacher according to a letter from the childrens commissioner
